Data File Name,2100 expert_DNA 12000_DE13806110_2016-10-04_12-15-01.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2016-10-04
Date Created,"Tuesday, October 04, 2016 4:15:00 PM"
Date Last Modified,"Tuesday, October 04, 2016 4:50:02 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,DNA 12000 Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,DNA 12000
Assay Version,2.4
 
Number of Samples Run,12
 
Sample Name,Sample 3
Number of Events,1581
 
Time,Value
54.65,40.54584
54.7,40.1807
54.75,39.90362
54.8,39.53802
54.85,39.63669
54.9,39.6334
54.95,39.49017
55,39.36509
55.05,39.11293
55.1,39.09749
55.15,39.25226
55.2,39.20575
55.25,39.06009
55.3,39.08749
55.35,38.55746
55.4,37.93746
55.45,37.33442
55.5,37.07955
55.55,37.07907
55.6,37.04388
55.65,36.86107
55.7,36.651
55.75,36.54475
55.8,36.13511
55.85,35.75146
55.9,36.09448
55.95,36.2355
56,36.45274
56.05,36.41034
56.1,35.94093
56.15,35.50028
56.2,35.20887
56.25,34.98679
56.3,34.8868
56.35,34.83623
56.4,34.66676
56.45,34.64211
56.5,34.5593
56.55,33.93666
56.6,34.06316
56.65,34.03347
56.7,33.85572
56.75,33.54221
56.8,33.27183
56.85,32.97737
56.9,32.60165
56.95,32.26912
57,32.05047
57.05,32.18879
57.1,31.74676
57.15,31.93733
57.2,32.17884
57.25,32.27961
57.3,31.84338
57.35,31.29683
57.4,30.69885
57.45,30.31449
57.5,30.12802
57.55,30.15807
57.6,30.50359
57.65,30.50499
57.7,30.49179
57.75,30.03989
57.8,29.5721
57.85,29.38239
57.9,29.29331
57.95,28.82135
58,28.60317
58.05,28.43258
58.1,28.26261
58.15,28.19327
58.2,28.18374
58.25,28.2731
58.3,28.32318
58.35,28.4845
58.4,28.4349
58.45,28.50119
58.5,28.18404
58.55,27.88046
58.6,27.43703
58.65,27.15623
58.7,26.90859
58.75,26.67429
58.8,26.38127
58.85,25.93228
58.9,25.70513
58.95,25.4871
59,25.43152
59.05,25.54363
59.1,26.04576
59.15,25.74262
59.2,25.21571
59.25,24.58387
59.3,24.06238
59.35,23.71432
59.4,23.5757
59.45,23.72149
59.5,24.00722
59.55,24.01168
59.6,23.57498
59.65,23.56548
59.7,23.13349
59.75,22.63722
59.8,22.14874
59.85,21.77675
59.9,21.76686
59.95,21.76951
60,21.74415
60.05,21.79052
60.1,21.75369
60.15,21.62922
60.2,21.63914
60.25,21.4759
60.3,21.60656
60.35,21.63026
60.4,21.30196
60.45,20.97748
60.5,20.5655
60.55,20.23899
60.6,19.95047
60.65,19.54524
60.7,19.17087
60.75,19.03225
60.8,19.02472
60.85,19.39822
60.9,19.76381
60.95,19.94625
61,19.68767
61.05,19.10672
61.1,18.51458
61.15,18.23075
61.2,17.87799
61.25,17.91806
61.3,18.35938
61.35,18.54788
61.4,18.46535
61.45,18.38894
61.5,18.44959
61.55,18.20091
61.6,17.74269
61.65,17.51735
61.7,17.60867
61.75,17.32228
61.8,17.04706
61.85,16.86777
61.9,16.68006
61.95,16.42008
62,15.99323
62.05,15.42706
62.1,15.04289
62.15,14.76356
62.2,14.82831
62.25,15.16779
62.3,15.18108
62.35,14.89641
